ORF	T0.0	T0.5	T1.0	T1.5	T2.0	T2.5	T3.0	T3.5	T4.0	T4.5	T5.0	T5.5	T6.0	T6.5
YGR165W	0.1300	-0.2710	-0.1900	-0.0380	0.0210	0.0200	0.0990	-0.0900	0.0190	0.0020	0.2410	-0.0680	-0.3600	-0.2750
YDR131C	0.1290	-0.2930	0.1850	-0.0580	0.0500	-0.2680	-0.1070	-0.2520	-0.3670	-0.4500	-0.2000	-0.6080	-0.7420	-0.3510
YIL025C	0.1710	-0.0900	0.0930	-0.5660	0.1920	0.1770	0.1770	-0.4490	-0.3850	-0.0630	0.3690	-0.2980	-0.5950	0.1710
YPL074W	-0.1495	-0.0025	-0.4245	-0.3075	-0.1680	-0.7760	0.1040	-0.4600	-0.9445	-0.2935	-0.8520	-0.2165	-0.7610	-0.3415
YPL226W	-1.8195	-0.4205	-0.3950	0.2085	0.7160	0.5380	0.2565	0.1535	-0.1540	0.3755	-0.0200	-0.4855	-1.0025	-0.3205
YHL007C	-0.7280	0.4950	0.4730	1.0790	0.4750	0.6550	0.4420	0.5210	0.2160	0.5140	0.3370	0.3050	0.1260	0.4260
YHR027C	0.1000	0.7880	0.1710	0.1300	-0.4820	-0.0100	0.1400	0.5170	0.2410	0.5700	0.1390	0.3780	0.1480	0.3380
YNL302C	-0.3030	0.2440	0.7680	1.1270	1.0250	0.8070	0.7690	0.5140	0.2420	0.3160	0.0950	0.1570	-0.2250	-0.0890
YJL151C	1.3030	0.5240	0.1170	0.0870	-0.2460	-0.3270	-0.1530	0.0180	-0.1670	-0.4470	0.1860	0.0630	-0.0240	-0.0090
YML004C	1.4740	-0.2790	-0.1460	-0.2520	-0.6100	-0.6690	-0.5490	-0.3220	-0.0820	-0.5300	-0.7250	-0.0140	0.2400	0.0490
YLR338W	0.7320	1.1220	0.3110	0.4820	0.1800	-0.1650	0.1670	-0.0340	0.3400	0.3300	0.3110	0.1880	0.7230	0.4370
YBL053W	-1.1365	-0.6140	-0.4055	-0.3995	0.2470	0.2725	-0.1670	0.0335	-0.0330	-0.0140	0.1675	-0.3260	-0.4360	-0.2795
YFL059W	-0.4570	-0.4340	0.0800	0.3170	0.4800	0.1350	0.2410	0.1130	0.1070	0.1580	0.0690	0.3180	0.2290	0.3120
YGR200C	-1.0510	-0.3720	-0.3870	0.3600	0.3150	-0.1350	0.1040	-0.1850	-0.0720	0.1770	-0.1220	-0.2320	-0.4780	-0.3080
YIL022W	0.2000	-0.0080	0.1850	0.3400	0.2430	0.6160	0.6770	0.6860	0.6540	0.3430	0.3400	0.4840	0.4380	0.4480
