ORF,T0.0,T0.5,T1.0,T1.5,T2.0,T2.5,T3.0,T3.5,T4.0,T4.5,T5.0,T5.5,T6.0,T6.5
YBR099C,-0.4245,-0.3215,-0.197,0.045,-0.3375,-0.668,-0.442,-0.35,-0.582,-0.4875,-0.393,-0.682,-0.664,-0.5175
YHR213W,-0.257,-0.043,0.204,-0.008,-0.22,0.239,0.112,0.287,0.527,0.401,0.466,0.129,0.198,0.473
YBL002W,-1.291,-0.9705,-0.976,-0.0815,0.038,0.892,0.944,0.812,0.734,0.4665,0.6235,0.45,-0.3135,-0.668
YOL065C,0.567,-0.127,-0.359,-0.489,-0.609,-0.782,-0.302,-0.431,-0.404,-0.637,-0.653,-0.319,-0.306,-0.512
YJR026W,1.026,0.567,0.288,0.679,0.507,-0.161,-0.052,-0.46,-0.218,-0.176,-0.319,0.097,-0.329,-0.062
YEL074W,-0.311,0.023,0.075,-0.053,0.095,0.151,0.414,0.11,0.066,0.125,0.357,0.04,-0.218,0.308
YKL117W,1.408,0.844,0.736,0.773,0.355,0.199,0.162,0.422,0.399,-0.05,0.531,0.419,0.427,0.517
YDR326C,-0.325,-0.3,-0.262,0.056,-0.167,0.111,0.12,0.585,0.416,0.42,-0.127,0.394,0.205,0.324
YJR032W,-0.106,-0.38,-0.044,0.146,0.249,0.053,-0.29,-0.258,-0.547,-0.308,0.172,-0.58,-0.741,-0.358
YKL131W,0.265,0.062,-0.022,-0.153,-0.03,-0.021,-0.195,-0.219,0.043,-0.211,-0.133,0.119,0.472,0.036
YMR216C,0.369,-0.054,-0.172,-0.047,-0.011,0.117,-0.034,-0.06,0.311,-0.009,-0.035,0.178,0.019,-0.208
YJL089W,-0.856,0.472,-0.048,-0.03,-1.109,-0.697,-0.44,-0.043,0.636,0.163,0.04,0.411,0.755,0.079
YDR429C,-0.134,0.007,0.289,1.587,0.69,0.58,0.569,0.421,-0.003,0.132,0.477,-0.182,-0.227,0.035
YEL068C,-0.029,0.18,0.007,0.09,-0.244,-0.085,-0.121,-0.141,-0.066,-0.235,0.138,-0.104,-0.222,0.002
