ID_REF	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
1438_at	4.193258557	4.370378684	4.395495114	4.054652103	4.280083874	4.482231526	4.165178065	4.472414862	4.2345795	4.333268366	4.287367287	4.200994811	4.053063581	4.127907447	4.214342689	4.080817954	4.41793651	4.086599077	4.540985485	4.254269731	4.404540835	4.26267106	4.297141576	4.13576902	4.454561024	4.402984563
1487_at	6.461570374	7.052868307	6.786360996	6.774536266	6.62605856	7.173910948	6.87573828	6.880781065	6.522650561	7.239787179	6.753487782	6.696543004	7.033903523	6.677124948	6.908700897	6.632936262	6.169600479	7.015117736	6.837169206	6.931406812	6.471933743	5.999375912	6.111100402	6.412912864	6.940309507	6.959589199
1494_f_at	3.98146047	3.739512531	3.970802145	3.962950241	3.92137562	4.348607026	3.751129316	3.970924347	3.747089068	4.103683002	4.018909232	3.938392409	3.744507618	4.004912929	4.031284201	4.184127333	4.143805322	4.030461709	4.200639778	4.079418946	4.056655367	3.875416456	3.985470936	3.962292286	4.103103257	4.203159843
1598_g_at	5.75767487	5.558916008	5.554937768	5.445924939	5.763243618	6.638981358	5.509871596	6.002573421	5.85834375	6.023062955	5.791377861	5.697022661	5.672058367	5.652991413	5.568769363	5.740525448	6.014438716	5.576602855	5.864190315	5.774826213	5.671471073	5.775392331	5.740302418	5.471328239	6.083161936	5.860524574
160020_at	6.505985523	6.295282461	6.483311934	6.295616328	6.258891994	7.362977105	6.602364699	7.313427213	6.241622006	6.637063138	6.794433914	6.436481743	5.761960717	6.398899234	5.992229715	6.797078023	6.538235395	6.30469954	6.433571202	7.275418681	6.569333946	6.391866891	6.642541198	6.401271871	6.770987072	7.138747475
1729_at	8.137232764	8.592093422	8.09761402	8.156262611	8.654322558	8.306900036	7.408584073	8.237210128	8.163305734	7.78271605	8.177292932	7.753333103	8.047646689	8.262128325	7.917325137	7.839085896	8.522881415	8.242412895	8.508114569	7.825716141	8.239942683	8.212184485	8.063673267	8.329387056	8.086975904	7.821179587
1773_at	5.144332326	5.152888328	5.290402222	4.72144966	4.3504703	4.54834164	5.247143983	4.88379312	4.967023789	4.828287783	4.70817961	4.68858871	5.177255396	4.774041038	4.933365873	4.974021635	4.925501305	4.86641451	4.681572248	4.773700726	5.137129923	4.850942081	4.966532165	5.035266822	4.960259779	4.628094423
177_at	4.145925811	4.166719731	4.25701833	3.882598673	4.481208729	4.234946588	3.879930707	4.069431239	4.139591393	4.109132991	4.173042132	4.181607915	4.095246258	4.036806934	4.027042449	3.910913898	4.33222878	4.074172615	3.97807017	3.941069482	3.759032991	3.811555054	3.75583282	3.963230874	3.918785242	3.984672617
179_at	6.366751103	6.441633936	6.44495603	6.385687788	6.458730156	6.196221713	6.200199239	6.241183684	6.243870646	6.741537537	6.373500024	6.094914228	6.093774381	6.454350926	6.505534602	6.424465401	6.34294833	6.161579524	6.3988026	6.649137615	6.66496207	6.524918027	6.566079895	6.474710559	6.966089075	6.652058295
1861_at	5.198760409	6.809467142	6.556006403	5.70834461	5.632097089	6.461082616	6.207752329	5.518537698	6.312732598	6.021475452	6.14895971	6.276509352	6.420462914	6.525184448	5.661658519	6.066772079	6.042782245	6.097673223	5.876838651	5.812758982	5.808569605	5.519312889	5.924246489	5.77037558	6.010775743	5.842918915
200000_s_at	10.49043952	9.297318398	10.15956669	10.66875268	10.56971082	10.17800771	10.5434686	10.54408841	10.17281659	10.72435072	10.42174234	10.27312082	10.63534506	9.997532862	10.63945256	10.17086253	10.01022536	10.39638075	9.960330058	10.25241075	9.784883536	10.01197567	9.694327011	9.863671699	9.887571834	10.2733068
200001_at	10.54373806	10.548528	9.56793325	10.78289594	10.48868613	10.47182684	9.851604322	10.86495662	10.24144883	10.56264922	10.50759608	10.10152968	10.45138344	10.57740041	10.06988838	10.23536417	10.18341569	9.900455761	10.42534958	10.60544002	10.11710537	8.977059733	9.68080744	10.22916565	10.12663257	10.55654271
200002_at	12.8157953	12.68947928	12.79207866	12.50989613	12.6736231	11.08764653	12.67777463	13.0087322	13.02477854	12.89287132	12.62236697	12.93443091	12.57262731	13.1051341	12.51001283	12.8700621	12.89075665	12.67820336	12.81854941	12.96099166	13.00926454	13.04300461	12.99221098	12.70446708	12.90016294	13.00325601
200003_s_at	13.64948935	13.84965633	13.62850602	13.54094896	13.59913617	13.81736219	13.63602759	13.80199823	13.81500642	13.96483403	13.52056581	13.66058706	13.45353563	13.84218021	13.39124937	13.89125422	13.84168198	13.82228478	13.91377862	13.93461419	13.92843668	13.87506691	13.89758812	13.7806436	13.77474135	13.926594
200004_at	11.41555706	11.75663648	12.23334076	11.94603509	12.08513022	11.87885907	12.14309883	11.83941533	11.69204932	12.34829187	12.30760197	12.03937186	12.18759667	11.71579031	12.4920795	11.84359967	11.28755692	11.93019485	12.19790415	12.21255589	11.48503756	11.71619037	11.74254217	11.82063716	12.29900959	12.23121591
200005_at	11.68666036	11.46514439	11.34157949	11.52677681	11.60023209	11.45077496	11.433164	11.65670337	11.4031053	11.49866297	11.50557395	11.34392342	11.43179682	11.44793739	11.3877063	11.34637012	11.32797666	11.33343792	11.17339385	11.24646544	11.47465382	11.09347127	11.57555347	11.33246685	11.18735016	11.23585883
200006_at	11.51999809	11.78565767	11.83002356	11.77232899	11.51031152	11.39145189	11.89301327	11.69687163	12.02003621	11.77415669	11.76839619	11.9341195	11.81861282	11.99893478	11.72362149	11.83956944	11.5553374	11.61913899	11.70158358	11.93273952	11.85014671	11.31090177	11.74943553	11.7184061	11.87851255	11.94114171
200007_at	11.56700197	11.90076405	11.62342004	11.47432985	11.80373935	11.33912275	11.54288988	11.79048595	11.74876749	11.95456907	11.38716069	11.72965601	11.63016201	11.6590368	11.5832427	11.70543117	11.55735007	11.26052313	11.60534399	11.76145787	11.61099096	11.55660632	11.74292468	11.586813	11.92246566	11.73113311
200008_s_at	11.00461164	11.07336281	11.34225183	10.61339182	10.51153182	10.85302405	11.44803938	11.02287143	11.19511964	10.45000359	11.33969	10.87834935	11.0375514	11.26297386	11.36269761	11.17201862	11.42968981	10.56376548	10.76983768	10.49426473	11.32047803	11.15738201	11.2630401	11.01697863	10.802427	10.48639555
200009_at	11.94733093	11.59199229	11.95207355	11.93682236	11.61803484	11.07003232	11.92795358	11.84815367	11.77256792	11.80834334	12.06903529	11.73016978	12.07456524	11.93369787	12.15095434	11.64971116	11.91402644	11.76485149	11.59211295	11.65431526	11.93915651	11.80837216	11.8154099	11.82055461	11.58519683	11.65304214
200010_at	12.79916335	13.00401266	12.82954006	12.5702525	12.94792836	13.04973528	12.83811696	13.05495117	12.83489832	13.16907403	12.63438482	12.86999438	12.52249487	12.87940059	12.62396935	13.02215761	13.17618758	13.00127627	13.2997012	13.22918364	13.20134802	13.08248097	13.14613914	13.11105411	13.14003682	13.26112071
200011_s_at	9.17317695	9.224183703	9.462720526	9.345505753	9.589104334	9.672696968	9.11409492	9.583669354	9.153190151	9.56845944	9.317933906	9.189079239	9.680590173	9.367551494	9.491121065	8.990867374	8.933657825	9.07122728	9.458099246	9.656361218	8.702874889	8.765067415	8.958886706	8.973823765	9.559365842	9.594936605
200012_x_at	13.39978719	13.40736197	13.41072879	13.15701541	13.42707358	13.44634767	13.42854064	13.4362185	13.42857429	13.43669395	13.22767912	13.38206511	13.35575034	13.42039644	13.22287284	13.47846736	13.47890654	13.41122582	13.5447205	13.51814646	13.47021664	13.6076538	13.54191918	13.48495434	13.51170519	13.57653429
